"","a.Entr","a.Cruza","NormYield"
"427",660,"ITAPUA 75",-1.36424205265939e-12
"428",350,"DON ALBERTO",-2.27373675443232e-12
"429",157,"TNMU/6/CEP80111/CEP81165/5/MRNG/4/YKT406/3/AG/ASN//ATR/7/BABAX/LR42//BABAX/3/BABAX/LR42/8/CD114",-2.32107302647819
"430",636,"NOGAL/KASORO3//CANINDE 1",-5.79935999999998
"431",775,"CANINDE 3/CD 104",-7.18270188788028
"432",643,"NOGAL/CD 104//CANINDE 11",-7.93614134762083
"433",793,"Caninde 11/5/VEE/MJI//2*TUI/3/PASTOR/4/BERKUT",-8.49513928615306
"434",739,"ITAPUA 70//ITAPUA-50/ITAPUA-40 ",-8.98266347419303
"435",301,"NOGAL/ALSEN",-9.69896348335169
"436",535,"TNMU/CHAPIO//CD 116",-10.1044502148952
"437",842,"KRONSTAD F2004//ND643/2*WBLL1/3/WHEAR/KRONSTAD F2004",-14.7340800000002
"438",89,"PARULA/CD 104",-14.8144225337815
"439",595,"BRS LAURO/PEWIT 1//CD 104",-16.7142735291527
"440",669,"NOGAL/Itapúa 75//CANINDE 1",-17.4280275265801
"441",852,"ND643/2*WBLL1//HEILO",-21.8990141221875
"442",407,"KRONSTAD F04/CATBIRD                                 ",-22.5081343868187
"443",461,"NOGAL/ALSEN",-22.9671600645252
"444",574,"INIA DON ALBERTO/Itapúa 75",-31.8656000000001
"445",522,"Itapúa 75/CD 108",-33.9872
"446",487,"NOGAL/Itapúa 75",-35.6895119358987
"447",388,"KRONSTAD F04/ITAPUA 65",-39.2790399999999
"448",31,"CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42",-39.7216317766488
