Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
848,18,35,,,FRANCOLIN #1*2//ND643/2*WBLL1,CMSS08B00866T-099TOPY-099M-099NJ-099NJ-7WGY-0B,449,153,40,42,1465,
849,18,34,,,W15.92/4/PASTOR//HXL7573/2*BAU/3/WBLL1/5/MUU,CMSA08Y00572S-050Y-050ZTM-050Y-54BMX-010Y-0B,613,151,55,58,2000,
850,18,33,,,DON ALBERTO,,1123,158,100,,3663,
851,18,32,,2,FRANCOLIN #1/BLOUK #1,CMSS06B00010S-0Y-099ZTM-099NJ-099NJ-9RGY-0B-8BMX-0RGY,1341,153,119,124,4375,x
852,18,31,,1,ND643/2*WBLL1//HEILO,CMSS08Y00542S-099Y-099M-099Y-099B-8RGY-0B,1152,164,103,107,3758,x
853,18,30,,,KACHU*2/3/ND643//2*PRL/2*PASTOR,CMSS08B00712T-099TOPY-099M-099NJ-099NJ-10RGY-0B,1147,154,102,106,3742,x
854,18,29,,,ND643/2*WBLL1/4/CHIBIA//PRLII/CM65531/3/SKAUZ/BAV92/5/BECARD,CMSS08B00776T-099TOPY-099M-099NJ-099NJ-6RGY-0B,999,156,89,93,3259,
855,18,28,,,ND643/2*WBLL1/4/CHIBIA//PRLII/CM65531/3/SKAUZ/BAV92/5/BECARD,CMSS08B00776T-099TOPY-099M-099NJ-099NJ-21RGY-0B,915,153,88,85,2985,
856,18,27,,,ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD,CMSS08B00777T-099TOPY-099M-099NJ-099NJ-12RGY-0B,1160,151,112,107,3784,x
857,18,26,,,VOROBEY,CMSS96Y02555S-040Y-020M-050SY-020SY-27M-0Y,1034,143,100,96,3373,
858,18,25,,,MUTUS//ND643/2*WBLL1,CMSS08Y00224S-099Y-099M-099NJ-099NJ-4RGY-0B,913,160,88,85,2978,
859,18,24,,,MUTUS//ND643/2*WBLL1,CMSS08Y00224S-099Y-099M-099NJ-099NJ-16RGY-0B,1069,161,103,99,3487,
860,18,23,,,ITAPUA 75,,1036,157,100,,3379,
861,18,22,,1,MUTUS//ND643/2*WBLL1,CMSS08Y00224S-099Y-099M-099NJ-099NJ-19RGY-0B,905,146,87,83,2953,
862,18,21,,1,ND643/2*WBLL1//KACHU,CMSS08Y00235S-099Y-099M-099NJ-3RGY-0B,1066,148,103,97,3478,
863,18,20,,,ND643/2*WBLL1//KACHU,CMSS08Y00235S-099Y-099M-099NJ-099NJ-3RGY-0B,886,149,86,81,2890,
864,18,19,,,CHIBIA//PRLII/CM65531/3/FISCAL*2/4/TAM200/TURACO,CMSS08Y00850T-099TOPM-099Y-099M-099NJ-28RGY-0B,796,154,77,73,2597,
865,18,18,,,CHIBIA//PRLII/CM65531/3/FISCAL*2/4/TAM200/TURACO,CMSS08Y00850T-099TOPM-099Y-099M-099NJ-099NJ-1RGY-0B,920,153,89,84,3001,
866,18,17,,,BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/WHEAR/SOKOLL,CMSS08B00259S-099M-099NJ-17RGY-0B,877,150,76,80,2861,
867,18,16,,,BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/WHEAR/SOKOLL,CMSS08B00259S-099M-099NJ-30RGY-0B,1223,178,106,112,3988,x
868,18,15,,s,"BABAX/LR42//BABAX*2/3/PAVON 7S3, +LR47/4/WBLL1*2/BRAMBLING",CMSS08B00277S-099M-099NJ-099NJ-3RGY-0B,1059,145,92,97,3455,
869,18,14,,,VEE#8//JUP/BJY/3/F3.71/TRM/4/BCN/5/KAUZ/6/MILAN/KAUZ/7/SKAUZ/PARUS//PARUS/8/BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ,CMSS08B00381S-099M-099Y-1M-0RGY,904,138,78,83,2950,
870,18,13,,,ITAPUA 85,,1156,165,100,,3771,
871,18,12,,,BECARD//ND643/2*WBLL1,CMSS08B00422S-099M-099NJ-5RGY-0B,1088,147,94,89,3550,
872,18,11,,,KRL 19/5/BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ,CMSS08B00575S-099M-099Y-20M-0RGY,919,153,80,75,2998,
873,18,10,,,BJY/COC//PRL/BOW/3/FRTL/5/BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ,CMSS08B00594S-099M-099Y-4M-0RGY,917,160,79,75,2991,
874,18,9,,,KACHU*2/3/ND643//2*PRL/2*PASTOR,CMSS08B00712T-099TOPY-099M-099NJ-099NJ-14RGY-0B,987,161,85,81,3219,
875,18,8,,s,KACHU*2/3/ND643//2*PRL/2*PASTOR,CMSS08B00712T-099TOPY-099M-099NJ-099NJ-15RGY-0B,942,144,82,77,3073,
876,18,7,,s,ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD,CMSS08B00777T-099TOPY-099M-099NJ-099NJ-5RGY-0B,1060,162,82,87,3458,
877,18,6,,s,ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD,CMSS08B00777T-099TOPY-099M-099NJ-099NJ-12RGY-0B,1099,158,85,90,3585,
878,18,5,,s,ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD,CMSS08B00777T-099TOPY-099M-099NJ-099NJ-16RGY-0B,1087,162,84,89,3546,
879,18,4,,1,BABAX/LR42//BABAX/3/ER2000/4/NAVJ07,CMSA08M00274S-040ZTM-050Y-14ZTM-010Y-0B,1115,156,87,91,3637,x
880,18,3,,,CANINDE 21,,1287,171,100,,4198,
881,18,2,,,NING MAI 96035/FINSI//HEILO/3/NAVJ07,CMSA08M00445S-040ZTM-050Y-47ZTM-010Y-0B,890,163,69,81,2903,
882,18,1,,,NING MAI 96035/FINSI//HEILO/5/CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2,CMSA08M00446S-040ZTM-050Y-5ZTM-010Y-0B,964,177,75,88,3144,x
883,19,1,,1,CHIRYA.3,CIGM87.116-3Y-2M-1PR-3M-2PR-4B-0PR-1Y-0M,866,144,67,79,2825,x
